Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Falkland Islands (Malvinas),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.36,0.54,0.12,0.00,1.03,1.43,0.87,0.33,1.57,1.27,0.10,3.28,16.34,1.84
French Polynesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gabon,0.11,0.16,0.15,0.22,0.19,0.13,0.24,0.42,0.26,0.48,2.76,4.22,3.48,4.10,4.28,1.06,0.14,0.57,0.63,0.85,0.68,0.28
Gambia,1.54,6.23,4.67,3.83,3.91,1.28,2.11,3.77,4.34,2.00,3.82,1.82,2.93,5.03,2.70,3.76,2.40,1.83,2.07,1.35,1.42,0.31
Georgia,0.00,0.00,0.00,6.61,18.71,58.77,39.39,24.11,15.58,25.45,25.60,47.07,35.18,35.60,40.34,23.41,14.29,21.37,102.91,147.81,54.60,61.31
Ghana,6.09,16.42,8.32,24.66,15.22,15.94,3.79,6.89,5.09,4.26,4.02,2.66,4.85,7.08,9.23,7.75,5.57,18.52,13.76,8.93,2.43,3.83
Gibraltar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,0.00,0.31,0.50,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,4.73,12.10,2.25,0.57,0.20,0.19,0.04,0.00
Guatemala,11.52,18.52,7.48,16.09,15.91,41.39,29.22,38.21,37.34,26.92,12.46,18.19,45.92,16.30,12.19,46.65,46.35,19.04,12.58,12.07,46.30,35.26
Guinea,20.92,29.44,28.73,29.39,26.32,28.65,34.64,39.86,41.20,48.82,41.03,90.21,72.79,70.19,44.80,34.03,24.88,33.41,19.01,17.92,11.20,7.86
Guinea-Bissau,2.05,2.44,4.54,6.86,3.42,2.46,5.85,3.57,13.21,14.78,6.37,4.80,5.71,6.24,3.12,6.10,5.71,2.94,5.16,1.64,1.30,1.36
Guyana,0.72,0.78,0.59,1.43,1.66,2.55,4.29,1.55,2.38,1.28,0.47,0.07,0.00,0.00,0.05,3.46,0.42,0.54,0.00,0.02,0.48,0.02
Haiti,1.17,0.91,4.59,4.83,3.81,344.50,25.90,20.80,15.52,10.93,11.14,8.77,5.70,14.26,69.72,75.55,79.54,48.23,210.68,150.62,"1,661.94",506.02
Honduras,22.04,9.22,8.81,6.03,6.70,11.01,3.48,8.61,60.52,109.63,49.32,38.48,13.31,9.02,28.68,21.34,11.76,14.01,16.05,11.84,5.30,6.51
"Hong Kong, China",25.37,32.11,28.17,26.42,21.59,8.00,3.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
India,31.81,55.76,55.84,38.48,39.93,37.83,16.60,46.03,27.40,52.88,86.78,166.65,52.15,35.09,32.53,82.98,77.08,37.51,47.90,27.94,24.32,22.55
Indonesia,10.94,18.48,23.43,8.83,9.49,3.82,2.62,10.16,148.52,205.69,81.26,86.52,85.64,72.82,35.17,795.93,509.39,247.61,142.82,271.71,140.82,167.92
Indus Basin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iran,26.44,120.19,44.35,51.14,27.33,37.27,54.17,82.85,40.75,52.84,58.76,54.80,71.66,76.74,120.59,32.68,46.12,20.97,6.26,11.78,23.79,14.49
Iraq,0.85,136.00,54.49,35.43,21.65,349.09,418.19,304.54,143.81,144.80,153.15,186.89,161.00,"1,231.24","1,148.73",711.22,437.99,374.54,395.33,498.96,195.76,296.07
Israel,0.00,0.00,0.00,0.00,0.00,52.63,197.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamaica,3.54,3.68,1.92,6.14,1.54,8.16,0.03,3.23,0.22,1.87,0.00,0.60,0.60,0.43,2.53,3.32,10.01,2.01,0.87,0.47,1.76,1.55
Jordan,6.04,20.82,99.90,103.43,110.34,111.97,92.76,124.63,127.73,134.78,127.68,134.99,132.93,145.29,117.26,115.57,113.57,116.30,140.89,144.20,180.34,154.99
Kazakhstan,0.00,0.00,0.00,0.00,0.00,0.45,0.89,0.73,0.77,2.93,3.53,6.74,5.41,3.30,2.94,2.06,1.19,0.92,1.51,0.63,2.88,1.19
Kenya,5.29,31.77,181.74,198.01,118.71,50.42,36.66,81.22,67.14,65.21,81.00,94.87,99.97,81.77,95.33,89.47,259.69,201.49,313.20,417.40,300.31,479.53
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.05,0.04,0.00,0.00,0.09,0.00,0.00,0.00,0.00,7.42,1.41
Korea,0.47,0.30,0.24,0.06,0.00,1.61,1.09,0.22,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,0.00,0.00,0.00
"Korea, Dem. Rep.",0.00,0.00,0.00,0.00,0.00,2.67,18.59,64.17,54.95,230.49,50.30,84.19,154.25,95.49,131.72,64.12,36.40,63.73,111.59,61.60,41.74,65.97
Kosovo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.98,10.65,12.09
Kuwait,0.00,1.58,0.46,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyrgyz Republic,0.00,0.00,0.00,0.00,2.17,7.46,9.20,7.09,3.74,5.30,3.57,6.97,4.65,4.09,2.53,3.00,1.37,2.06,6.00,10.33,57.46,27.47
Laos,1.31,1.73,8.67,6.08,10.26,11.35,13.37,19.01,10.28,2.03,10.60,8.44,7.57,5.43,4.31,8.24,7.74,6.36,11.81,16.83,12.48,13.07
Lebanon,2.85,5.03,60.25,60.85,53.45,75.23,71.07,93.02,94.93,74.18,85.34,93.42,97.96,88.02,97.51,101.74,408.87,316.40,199.20,144.94,130.04,129.15
Lesotho,4.93,11.84,14.74,8.81,6.99,9.25,5.43,4.79,3.41,1.89,1.82,1.50,7.27,5.39,6.67,12.73,4.82,27.32,7.47,3.09,9.98,8.28
Liberia,13.07,87.00,87.81,93.89,7.71,105.13,97.48,61.15,50.51,86.38,43.74,25.81,52.31,113.27,183.27,153.93,158.62,114.61,93.90,46.01,32.29,97.19
Libya,0.00,0.43,1.09,1.61,1.58,1.58,2.31,2.46,2.40,2.15,0.00,0.00,0.00,0.00,0.00,2.26,0.85,0.87,1.21,2.06,0.79,464.18
Macao,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Macedonia, FYR",0.00,0.00,0.00,0.00,0.00,0.51,4.37,4.73,2.61,89.24,41.43,71.86,37.72,16.02,5.22,4.74,1.15,2.88,2.03,1.56,0.63,0.56
Madagascar,0.43,8.84,14.05,3.47,1.66,7.23,3.36,10.06,6.20,5.81,11.29,19.97,10.64,12.62,12.41,7.85,6.36,26.54,28.49,23.88,26.15,22.86
Malawi,83.43,143.45,206.29,126.15,81.60,51.43,8.89,6.76,6.14,9.89,5.11,11.12,37.66,40.18,12.06,56.60,64.72,17.08,14.39,13.74,18.38,16.05
Malaysia,11.24,14.86,8.34,5.66,4.80,1.36,1.51,1.56,6.29,1.08,0.69,1.67,0.29,3.85,1.21,2.00,0.87,2.43,3.34,2.92,4.68,16.53
Maldives,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,3.27,0.00,0.00,45.41,21.67,12.40,1.80,9.47,21.23,2.58
Mali,4.77,5.41,6.22,5.39,4.29,9.68,9.08,25.41,14.29,10.73,6.66,6.82,9.37,10.39,4.56,23.39,19.56,10.76,11.11,8.64,23.15,19.06
Malta,0.07,0.06,0.15,0.22,0.77,0.83,0.68,0.45,0.34,0.33,0.23,0.23,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marshall Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.10,2.50,0.00,0.12,0.89,0.04,0.33
Mauritania,5.07,13.89,15.56,36.37,18.17,16.20,11.23,14.26,4.52,1.53,5.64,6.23,9.62,29.47,12.29,23.17,15.88,15.94,33.27,16.53,11.30,12.97
Mauritius,1.38,2.65,1.67,1.75,0.07,2.52,0.25,0.02,0.00,0.00,0.00,0.00,0.02,0.12,0.00,0.00,0.00,0.01,0.09,0.00,0.13,0.11
Mayotte,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mekong Delta Project,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,19.27,19.84,19.18,28.50,26.62,19.80,14.58,18.46,22.02,18.14,9.55,9.81,8.39,6.87,4.29,2.56,1.37,6.13,3.94,6.47,1.10,0.58
"Micronesia, Fed. States",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.00,0.10,0.65,0.00,0.15,0.87,0.00,0.48
Moldova,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,1.76,4.38,5.26,25.39,8.68,10.99,7.85,11.06,4.04,9.36,5.45,1.35,1.90,1.32
